日期,開盤價,最高價,最低價,收盤價,漲跌,漲幅(%),振幅(%),成交量,成交筆數,成交金額(千),均張,成交量變動(%),均張變動(%),股本(百萬),總市值(億),市值比重(%),本益比,股價淨值比,本益比(近四季),週轉率(%),成交值比重(%),漲跌停,均價,成交量(股)
2021/6/22,123.05,123.6,122,122,-0.7,-0.57,1.3,831,403,101675,2.1,-29.7,90.91,530,64.7,- -,- -,- -,- -,1.57,0.018,0,122.28,831508
2021/6/21,124.25,124.55,122.55,122.7,-3.5,-2.77,1.58,1182,1057,145705,1.1,60.16,-59.26,530,65,- -,- -,- -,- -,2.24,0.028,0,123.18,1182830
2021/6/18,126.55,127.15,126.2,126.2,-0.3,-0.24,0.75,738,269,93449,2.7,-3.15,35,530,66.9,- -,- -,- -,- -,1.4,0.017,0,126.48,738860
2021/6/17,126,126.5,125,126.5,0.4,0.32,1.19,762,386,96004,2,-7.19,-9.09,530,67,- -,- -,- -,- -,1.43,0.022,0,125.91,762455
2021/6/16,126.55,126.55,125.75,126.1,-0.45,-0.36,0.63,821,367,103669,2.2,-12.66,22.22,530,66.8,- -,- -,- -,- -,1.55,0.018,0,126.17,821660
2021/6/15,126.5,126.8,126.2,126.55,1.1,0.88,0.48,940,520,119032,1.8,4.33,-18.18,530,67.1,- -,- -,- -,- -,1.77,0.027,0,126.61,940160
