日期,開盤價,最高價,最低價,收盤價,漲跌,漲幅(%),振幅(%),成交量,成交筆數,成交金額(千),均張,成交量變動(%),均張變動(%),股本(百萬),總市值(億),市值比重(%),本益比,股價淨值比,本益比(近四季),週轉率(%),成交值比重(%),漲跌停,成交量(股)
2020/07/13,75.83,76.53,75.83,76.53,1.3,1.71,0.92,208,92,16016,2.3,4,9.52,215,16.6,- -,- -,- -,- -,0.96,0.008,0,208366
2020/07/10,75.98,76.38,75.24,75.24,-0.25,-0.33,1.51,200,96,15290,2.1,24.22,-8.7,215,16.3,- -,- -,- -,- -,0.94,0.006,0,200606
2020/07/09,74.99,75.79,74.99,75.49,0.4,0.53,1.06,161,71,12317,2.3,1.9,0,215,16.4,- -,- -,- -,- -,0.75,0.005,0,161991
2020/07/08,74,75.09,74,75.09,0.8,1.07,1.47,158,69,11916,2.3,-39,-14.81,215,16.3,- -,- -,- -,- -,0.73,0.005,0,158046
2020/07/07,74.69,75.39,73.95,74.3,0.75,1.01,1.96,259,97,19553,2.7,0,3.85,215,16.1,- -,- -,- -,- -,1.21,0.007,0,259936
2020/07/06,72.41,73.65,72.41,73.55,1.75,2.42,1.73,259,100,19142,2.6,47.16,-3.7,215,15.9,- -,- -,- -,- -,1.2,0.008,0,259278
2020/07/03,71.27,71.92,71.27,71.82,1.3,1.83,0.91,176,66,12736,2.7,-2.22,-18.18,215,15.6,- -,- -,- -,- -,0.82,0.006,0,176159
2020/07/02,69.83,70.53,69.73,70.53,1.2,1.72,1.14,180,55,12769,3.3,-11.76,-2.94,215,15.3,- -,- -,- -,- -,0.83,0.007,0,180188
2020/07/01,68.84,69.73,68.84,69.34,0.5,0.72,1.3,204,60,14318,3.4,27.5,-20.93,215,15,- -,- -,- -,- -,0.95,0.007,0,204514
2020/06/30,68.54,68.84,68.1,68.84,0.3,0.43,1.09,160,37,11100,4.3,-20,30.3,215,14.9,- -,- -,- -,- -,0.74,0.006,0,160844
2020/06/29,68.94,68.94,68.35,68.54,-0.9,-1.29,0.86,200,61,13875,3.3,8.7,6.45,215,14.9,- -,- -,- -,- -,0.93,0.007,0,200832
2020/06/24,69.44,69.73,69.24,69.44,0.7,1.01,0.72,184,60,12885,3.1,28.67,-18.42,215,15.1,- -,- -,- -,- -,0.85,0.006,0,184237
2020/06/23,69.24,69.24,68.54,68.74,0.2,0.29,1.01,143,38,9960,3.8,4.38,8.57,215,14.9,- -,- -,- -,- -,0.67,0.005,0,143900
2020/06/22,68.25,68.94,68.25,68.54,0.3,0.44,1.02,137,39,9513,3.5,8.73,-16.67,215,14.9,- -,- -,- -,- -,0.64,0.005,0,137621
2020/06/19,68.25,68.44,68,68.25,0.25,0.36,0.66,126,30,8731,4.2,-13.7,16.67,215,14.8,- -,- -,- -,- -,0.59,0.003,0,126928
2020/06/18,67.35,68.05,67.35,68,0.35,0.51,1.03,146,41,10034,3.6,19.67,-29.41,215,14.7,- -,- -,- -,- -,0.68,0.005,0,146400
2020/06/17,67.75,67.75,67.45,67.65,-0.1,-0.15,0.44,122,24,8325,5.1,-39.9,54.55,215,14.7,- -,- -,- -,- -,0.57,0.005,0,122298
2020/06/16,67.7,68.05,67.16,67.75,1.4,2.09,1.35,203,62,13872,3.3,-26.98,6.45,215,14.7,- -,- -,- -,- -,0.94,0.008,0,203512
2020/06/15,67.55,68.49,66.36,66.36,-1.2,-1.76,3.16,278,89,18946,3.1,75.95,0,215,14.4,- -,- -,- -,- -,1.32,0.011,0,278833
2020/06/12,66.01,67.55,65.87,67.55,-0.45,-0.66,2.48,158,51,10740,3.1,-15.96,10.71,215,14.6,- -,- -,- -,- -,0.74,0.005,0,158858
2020/06/11,69.04,69.49,67.7,68,-0.7,-1.01,2.6,188,68,13036,2.8,-7.84,-3.45,245,16.8,- -,- -,- -,- -,0.78,0.005,0,188586
2020/06/10,67.85,68.79,67.85,68.69,0.85,1.24,1.39,204,71,14131,2.9,17.24,20.83,275,19,- -,- -,- -,- -,0.74,0.007,0,204417
